Genotype,rep,germinationdate,Age_one,Age_two,Group,Algae,Initalweight,WeightPreStress,Totalfreshweight,Totalshootweight,Totalrootweight,Totaldryweight,Shootdryweight,Rootdryweight,Green/yellow,Healthy/wilted
B290,19,22/10/2023,12,26,B,NA,0.475,2.299,1.613,0.956,0.657,0.2405,0.1791,0.0614,NA,NA
B289,46,22/10/2023,NA,NA,B,NA,0.294,0,0,0,0,0,0,0,NA,NA
B289,47,22/10/2023,NA,NA,B,NA,0.274,0,#VALUE!,0,0,0,0,0,NA,NA
B289,48,22/10/2023,NA,NA,B,NA,0.344,0,#VALUE!,0,0,0,0,0,NA,NA
B289,23,21/10/2023,13,27,A,NA,0.476,2.099,1.655,1.012,0.643,0.2052,0.143,0.0622,NA,NA
B289,50,22/10/2023,NA,NA,B,NA,0.266,0,0,0,0,0,0,0,NA,NA
Bowman,23,21/10/2023,13,27,A,NA,0.453,2.259,2.358,1.58,0.778,0.2568,0.1863,0.0705,NA,NA
B289,52,22/10/2023,NA,NA,B,NA,0.255,0,#VALUE!,0,0,0,0,0,NA,NA
B289,53,22/10/2023,NA,NA,B,NA,0.469,2.011,2.218,1.428,0.79,0,0,0,NA,NA
B289,54,22/10/2023,NA,NA,B,NA,0,0,#VALUE!,0,0,0,0,0,NA,NA
B289,55,22/10/2023,NA,NA,B,NA,0.402,0,0,0,0,0,0,0,NA,NA
Bowman,25,21/10/2023,13,27,A,NA,0.486,2.41,2.245,1.485,0.76,0.2467,0.1771,0.0696,NA,NA
B289,57,22/10/2023,NA,NA,B,NA,0.394,0,0,0,0,0,0,0,NA,NA
B290,28,22/10/2023,12,26,B,NA,0.492,3.095,2.087,1.211,0.876,0.2522,0.18,0.0722,NA,NA
B289,30,21/10/2023,13,27,A,NA,0.455,2.15,2.244,1.373,0.871,0.2764,0.1932,0.0832,NA,NA
B289,60,22/10/2023,NA,NA,B,NA,0.326,0,#VALUE!,0,0,0,0,0,NA,NA
B289,61,22/10/2023,NA,NA,B,NA,0.387,0,#VALUE!,0,0,0,0,0,NA,NA
B290,33,22/10/2023,12,26,B,NA,0.493,2.351,1.496,0.887,0.609,0.222,0.1639,0.0581,NA,NA
B289,63,22/10/2023,NA,NA,B,NA,0,0,#VALUE!,0,0,0,0,0,NA,NA
B289,64,22/10/2023,NA,NA,B,NA,0,0,#VALUE!,0,0,0,0,0,NA,NA
B290,34,22/10/2023,12,26,B,NA,0.48,2.965,1.972,1.204,0.768,0.3063,0.2237,0.0826,NA,NA
B289,36,21/10/2023,13,27,A,NA,0.505,0,1.861,1.26,0.601,0.2446,0.1792,0.0654,NA,NA
B289,67,22/10/2023,NA,NA,B,NA,0.438,0,0,0,0,0,0,0,NA,NA
B290,37,22/10/2023,12,26,B,NA,0.476,2.596,1.712,1.034,0.678,0.2684,0.1922,0.0762,NA,NA
B290,38,22/10/2023,12,26,B,NA,0.483,2.806,1.793,1.075,0.718,0.2675,0.2031,0.0644,NA,NA
Bowman,40,22/10/2023,12,26,B,NA,0.452,2.364,2.49,1.613,0.877,0.2676,0.1848,0.0828,NA,NA
B289,71,22/10/2023,NA,NA,B,NA,0.379,0,0,0,0,0,0,0,NA,NA
B289,72,22/10/2023,NA,NA,B,NA,0.242,0,#VALUE!,0,0,0,0,0,NA,NA
Bowman,43,22/10/2023,12,26,B,NA,0.465,2.403,2.145,1.34,0.805,0.2406,0.1704,0.0702,NA,NA
