EXP,plant,rep,PEG,Temp,Weiss,Hoaglands,IFW,FFW,SFFW,RFFW,CFW,TDW,SDW,RDW,TWC,SWC,RWC,DR:S,WCR:S ,WU,RL,RSA,RAD,RV,RT,CFW/WU
1E,B289,3,0%,4°C,1,Hg50,0.32,0.617,0.415,0.202,0.297,0.0606,0.0449,0.0157,0.5564,0.3701,0.1863,0.349665924,0.503377466,7.67,135.0076,27.7139,0.6534,0.453,1102,0.03873913
2E,Bow,4,0%,4°C,1,Hg50,0.519,0.988,0.626,0.362,0.469,0.0984,0.0691,0.0293,0.8896,0.5569,0.3327,0.424023155,0.597414257,12.33,98.3797,34.0293,1.101,0.937,1102,0.038027027
3E,Ant,1,0%,4°C,3,Hg50,0.4,0.76,0.47,0.29,0.36,0.0845,0.0627,0.0218,0.6755,0.4073,0.2682,0.3476874,0.658482691,14.67,95.6067,24.2418,0.8071,0.489,1106,0.024545455
3E,Bow,1,15%,4°C,3,Hg50,0.797,0.985,0.562,0.423,0.188,0.1058,0.075,0.0308,0.8792,0.487,0.3922,0.410666667,0.805338809,6.67,59.9763,31.3646,1.6646,1.305,1117,0.0282
4E,B289,3,15%,4°C,3,Hg50,0.766,0.898,0.555,0.343,0.132,0.1132,0.0832,0.03,0.7848,0.4718,0.313,0.360576923,0.663416702,7.00,74.1255,32.4299,1.3926,1.129,1135,0.018857143
4E,Ant,4,0%,4°C,3,Hg50,0.54,0.934,0.59,0.344,0.394,0.1113,0.0778,0.0335,0.8227,0.5122,0.3105,0.43059126,0.606208512,12.67,45.0854,36.4718,2.575,2.348,1136,0.031105263
4E,Bow,5,0%,4°C,3,Hg50,0.62,1.233,0.782,0.451,0.613,0.142,0.1,0.042,1.091,0.682,0.409,0.42,0.599706745,17.67,58.5356,36.5247,1.9862,1.814,1142,0.034698113
0E,B290,9,15%,4C,1,Hg50,,0.581,0.327,0.254,,,,,,,,,,7.333333333,113.6357,28.9033,0.8096,0.585,1145,0
3E,B289,3,0%,4°C,3,Hg50,0.558,1.125,0.75,0.375,0.567,0.104,0.0803,0.0237,1.021,0.6697,0.3513,0.295143213,0.524563237,17.67,114.6229,34.2008,0.9498,0.812,1146,0.03209434
0E,B285,4,0%,4C,1,Hg50,,0.437,0.3,0.137,,,,,,,,,,11.5,105.0211,19.8643,0.6021,0.299,1150,0
0E,Ant,3,15%,4C,1,Hg50,,0.456,0.269,0.187,,,,,,,,,,3.333333333,107.9985,20.2563,0.597,0.302,1152,0
0E,B284,1,0%,4C,1,Hg50,,0.735,0.451,0.284,,,,,,,,,,8.5,117.5757,26.8114,0.7259,0.487,1155,0
0E,Bow,8,15%,4C,1,Hg50,,0.39,0.242,0.148,,,,,,,,,,5.333333333,99.2421,19.7458,0.6333,0.313,1156,0
0E,B284,3,0%,4C,1,Hg50,,0.648,0.428,0.22,,,,,,,,,,10.5,93.8663,23.904,0.8106,0.484,1157,0
1E,B289,4,15%,4°C,1,Hg50,0.432,0.511,0.35,0.161,0.079,0.1554,0.1394,0.016,0.3556,0.2106,0.145,0.114777618,0.688509022,4.67,95.182,24.3336,0.8138,0.495,1160,0.016928571
1E,B289,1,15%,4°C,1,Hg50,0.526,0.615,0.405,0.21,0.089,0.1006,0.0808,0.0198,0.5144,0.3242,0.1902,0.245049505,0.586674892,6.67,124.5322,24.2277,0.6193,0.375,1174,0.01335
0E,B285,6,0%,4C,1,Hg50,,0.68,0.442,0.238,,,,,,,,,,10.5,99.4136,25.9268,0.8301,0.538,1174,0
2E,B285,5,0%,4°C,1,Hg50,0.416,0.941,0.64,0.301,0.525,0.0916,0.0676,0.024,0.8494,0.5724,0.277,0.355029586,0.483927324,11.33,55.1547,30.4117,1.7551,1.334,1182,0.046323529
4E,B289,1,0%,4°C,3,Hg50,0.602,1.247,0.743,0.504,0.645,0.1339,0.0912,0.0427,1.1131,0.6518,0.4613,0.468201754,0.707732433,19.67,59.2182,42.2297,2.2699,2.396,1191,0.03279661
4E,B289,5,15%,4°C,3,Hg50,0.546,0.703,0.466,0.237,0.157,0.0955,0.0733,0.0222,0.6075,0.3927,0.2148,0.302864939,0.546982429,5.00,71.046,28.303,1.2681,0.897,1198,0.0314
1E,B284,1,0%,4°C,1,Hg50,0.417,0.896,0.596,0.3,0.479,0.0842,0.0607,0.0235,0.8118,0.5353,0.2765,0.387149918,0.516532785,10.67,124.601,25.812,0.6594,0.426,1199,0.04490625
1E,B289,2,0%,4°C,1,Hg50,0.482,0.8,0.526,0.274,0.318,0.078,0.0576,0.0204,0.722,0.4684,0.2536,0.354166667,0.541417592,10.67,103.9823,28.9069,0.8849,0.639,1200,0.0298125
0E,B284,4,0%,4C,1,Hg50,,0.959,0.573,0.386,,,,,,,,,,12.5,103.7561,30.9207,0.9486,0.733,1200,0
2E,B284,3,0%,4°C,1,Hg50,0.215,0.511,0.36,0.151,0.296,0.0512,0.0387,0.0125,0.4598,0.3213,0.1385,0.322997416,0.431061313,4.33,90.8385,16.6568,0.5837,0.243,1204,0.068307692
0E,B290,3,0%,4C,1,Hg50,,0.85,0.524,0.326,,,,,,,,,,11.5,116.8113,35.7629,0.9745,0.871,1226,0
2E,B290,3,0%,4°C,1,Hg50,0.398,0.84,0.53,0.31,0.442,0.0707,0.0525,0.0182,0.7693,0.4775,0.2918,0.346666667,0.611099476,11.33,110.628,29.2794,0.8425,0.617,1233,0.039
2E,B285,2,15%,4°C,1,Hg50,0.412,0.753,0.481,0.272,0.341,0.0791,0.0583,0.0208,0.6739,0.4227,0.2512,0.3567753,0.594274899,4.33,116.3954,27.7426,0.7587,0.526,1236,0.078692308
0E,B290,9,0%,4C,1,Hg50,,0.928,0.574,0.354,,,,,,,,,,15.5,124.4956,36.5887,0.9355,0.856,1236,0
